District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age Group,Gender,Population under 16 years of age living with,Number
 Surkhet,,,,,,   Under 1 Year,  Female,Employer,0
 Surkhet,,,,,,   Under 1 Year,  Female,Others,26
 Surkhet,,,,,,   Under 1 Year,  Female,Not stated,40
 Surkhet,,,,,,   01 - 04 Years,  Female,Parents,13790
 Surkhet,,,,,,   01 - 04 Years,  Female,Mother,1531
 Surkhet,,,,,,   01 - 04 Years,  Female,Father,33
 Surkhet,,,,,,   01 - 04 Years,  Female,Father and step mother,16
 Surkhet,,,,,,   01 - 04 Years,  Female,Mother and step father,17
 Surkhet,,,,,,   01 - 04 Years,  Female,Other relatives,24
 Surkhet,,,,,,   01 - 04 Years,  Female,Employer,0
 Surkhet,,,,,,   01 - 04 Years,  Female,Others,163
 Surkhet,,,,,,   01 - 04 Years,  Female,Not stated,50
 Surkhet,,,,,,   05 - 09 Years,  Female,Parents,19755
 Surkhet,,,,,,   05 - 09 Years,  Female,Mother,2088
 Surkhet,,,,,,   05 - 09 Years,  Female,Father,167
 Surkhet,,,,,,   05 - 09 Years,  Female,Father and step mother,39
 Surkhet,,,,,,   05 - 09 Years,  Female,Mother and step father,32
 Surkhet,,,,,,   05 - 09 Years,  Female,Other relatives,95
 Surkhet,,,,,,   05 - 09 Years,  Female,Employer,0
 Surkhet,,,,,,   05 - 09 Years,  Female,Others,516
 Surkhet,,,,,,   05 - 09 Years,  Female,Not stated,127
 Surkhet,,,,,,   10 - 15 Years,  Female,Parents,23713
 Surkhet,,,,,,   10 - 15 Years,  Female,Mother,2611
 Surkhet,,,,,,   10 - 15 Years,  Female,Father,251
 Surkhet,,,,,,   10 - 15 Years,  Female,Father and step mother,56
 Surkhet,,,,,,   10 - 15 Years,  Female,Mother and step father,57
 Surkhet,,,,,,   10 - 15 Years,  Female,Other relatives,258
 Surkhet,,,,,,   10 - 15 Years,  Female,Employer,32
 Surkhet,,,,,,   10 - 15 Years,  Female,Others,961
 Surkhet,,,,,,   10 - 15 Years,  Female,Not stated,178
 Dailekh,,,,,,   Under 1 Year,  Male,Parents,2997
 Dailekh,,,,,,   Under 1 Year,  Male,Mother,178
 Dailekh,,,,,,   Under 1 Year,  Male,Father,0
 Dailekh,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Dailekh,,,,,,   Under 1 Year,  Male,Mother and step father,1
 Dailekh,,,,,,   Under 1 Year,  Male,Other relatives,8
 Dailekh,,,,,,   Under 1 Year,  Male,Employer,0
 Dailekh,,,,,,   Under 1 Year,  Male,Others,0
 Dailekh,,,,,,   Under 1 Year,  Male,Not stated,41
 Dailekh,,,,,,   01 - 04 Years,  Male,Parents,13532
 Dailekh,,,,,,   01 - 04 Years,  Male,Mother,1094
 Dailekh,,,,,,   01 - 04 Years,  Male,Father,26
 Dailekh,,,,,,   01 - 04 Years,  Male,Father and step mother,10
 Dailekh,,,,,,   01 - 04 Years,  Male,Mother and step father,10
 Dailekh,,,,,,   01 - 04 Years,  Male,Other relatives,17
 Dailekh,,,,,,   01 - 04 Years,  Male,Employer,0
 Dailekh,,,,,,   01 - 04 Years,  Male,Others,63
 Dailekh,,,,,,   01 - 04 Years,  Male,Not stated,41
 Dailekh,,,,,,   05 - 09 Years,  Male,Parents,17489
 Dailekh,,,,,,   05 - 09 Years,  Male,Mother,1508
 Dailekh,,,,,,   05 - 09 Years,  Male,Father,125
 Dailekh,,,,,,   05 - 09 Years,  Male,Father and step mother,60
 Dailekh,,,,,,   05 - 09 Years,  Male,Mother and step father,11
 Dailekh,,,,,,   05 - 09 Years,  Male,Other relatives,89
 Dailekh,,,,,,   05 - 09 Years,  Male,Employer,0
 Dailekh,,,,,,   05 - 09 Years,  Male,Others,159
 Dailekh,,,,,,   05 - 09 Years,  Male,Not stated,22
 Dailekh,,,,,,   10 - 15 Years,  Male,Parents,19852
 Dailekh,,,,,,   10 - 15 Years,  Male,Mother,1398
 Dailekh,,,,,,   10 - 15 Years,  Male,Father,196
 Dailekh,,,,,,   10 - 15 Years,  Male,Father and step mother,53
 Dailekh,,,,,,   10 - 15 Years,  Male,Mother and step father,8
 Dailekh,,,,,,   10 - 15 Years,  Male,Other relatives,117
 Dailekh,,,,,,   10 - 15 Years,  Male,Employer,5
 Dailekh,,,,,,   10 - 15 Years,  Male,Others,278
 Dailekh,,,,,,   10 - 15 Years,  Male,Not stated,94
 Dailekh,,,,,,   Under 1 Year,  Female,Parents,2890
 Dailekh,,,,,,   Under 1 Year,  Female,Mother,220
 Dailekh,,,,,,   Under 1 Year,  Female,Father,1
 Dailekh,,,,,,   Under 1 Year,  Female,Father and step mother,1
 Dailekh,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Dailekh,,,,,,   Under 1 Year,  Female,Other relatives,0
 Dailekh,,,,,,   Under 1 Year,  Female,Employer,0
 Dailekh,,,,,,   Under 1 Year,  Female,Others,8
 Dailekh,,,,,,   Under 1 Year,  Female,Not stated,26
 Dailekh,,,,,,   01 - 04 Years,  Female,Parents,13181
 Dailekh,,,,,,   01 - 04 Years,  Female,Mother,845
 Dailekh,,,,,,   01 - 04 Years,  Female,Father,8
 Dailekh,,,,,,   01 - 04 Years,  Female,Father and step mother,1
 Dailekh,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Dailekh,,,,,,   01 - 04 Years,  Female,Other relatives,8
 Dailekh,,,,,,   01 - 04 Years,  Female,Employer,0
 Dailekh,,,,,,   01 - 04 Years,  Female,Others,29
 Dailekh,,,,,,   01 - 04 Years,  Female,Not stated,69
 Dailekh,,,,,,   05 - 09 Years,  Female,Parents,17673
 Dailekh,,,,,,   05 - 09 Years,  Female,Mother,1296
 Dailekh,,,,,,   05 - 09 Years,  Female,Father,45
 Dailekh,,,,,,   05 - 09 Years,  Female,Father and step mother,21
 Dailekh,,,,,,   05 - 09 Years,  Female,Mother and step father,17
 Dailekh,,,,,,   05 - 09 Years,  Female,Other relatives,58
 Dailekh,,,,,,   05 - 09 Years,  Female,Employer,1
 Dailekh,,,,,,   05 - 09 Years,  Female,Others,193
 Dailekh,,,,,,   05 - 09 Years,  Female,Not stated,53
 Dailekh,,,,,,   10 - 15 Years,  Female,Parents,20008
 Dailekh,,,,,,   10 - 15 Years,  Female,Mother,1456
 Dailekh,,,,,,   10 - 15 Years,  Female,Father,120
 Dailekh,,,,,,   10 - 15 Years,  Female,Father and step mother,78
 Dailekh,,,,,,   10 - 15 Years,  Female,Mother and step father,44
 Dailekh,,,,,,   10 - 15 Years,  Female,Other relatives,121
 Dailekh,,,,,,   10 - 15 Years,  Female,Employer,2
 Dailekh,,,,,,   10 - 15 Years,  Female,Others,365
 Dailekh,,,,,,   10 - 15 Years,  Female,Not stated,191
 Jajarkot,,,,,,   Under 1 Year,  Male,Parents,2396
 Jajarkot,,,,,,   Under 1 Year,  Male,Mother,44
 Jajarkot,,,,,,   Under 1 Year,  Male,Father,7
 Jajarkot,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Jajarkot,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Jajarkot,,,,,,   Under 1 Year,  Male,Other relatives,0
 Jajarkot,,,,,,   Under 1 Year,  Male,Employer,0
 Jajarkot,,,,,,   Under 1 Year,  Male,Others,7
 Jajarkot,,,,,,   Under 1 Year,  Male,Not stated,7
 Jajarkot,,,,,,   01 - 04 Years,  Male,Parents,9779
 Jajarkot,,,,,,   01 - 04 Years,  Male,Mother,294
 Jajarkot,,,,,,   01 - 04 Years,  Male,Father,31
 Jajarkot,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Jajarkot,,,,,,   01 - 04 Years,  Male,Mother and step father,8
 Jajarkot,,,,,,   01 - 04 Years,  Male,Other relatives,0
 Jajarkot,,,,,,   01 - 04 Years,  Male,Employer,0
 Jajarkot,,,,,,   01 - 04 Years,  Male,Others,85
 Jajarkot,,,,,,   01 - 04 Years,  Male,Not stated,54
 Jajarkot,,,,,,   05 - 09 Years,  Male,Parents,12714
 Jajarkot,,,,,,   05 - 09 Years,  Male,Mother,401
 Jajarkot,,,,,,   05 - 09 Years,  Male,Father,172
 Jajarkot,,,,,,   05 - 09 Years,  Male,Father and step mother,25
 Jajarkot,,,,,,   05 - 09 Years,  Male,Mother and step father,25
 Jajarkot,,,,,,   05 - 09 Years,  Male,Other relatives,16
 Jajarkot,,,,,,   05 - 09 Years,  Male,Employer,0
 Jajarkot,,,,,,   05 - 09 Years,  Male,Others,139
 Jajarkot,,,,,,   05 - 09 Years,  Male,Not stated,57
 Jajarkot,,,,,,   10 - 15 Years,  Male,Parents,13032
 Jajarkot,,,,,,   10 - 15 Years,  Male,Mother,471
 Jajarkot,,,,,,   10 - 15 Years,  Male,Father,191
 Jajarkot,,,,,,   10 - 15 Years,  Male,Father and step mother,104
 Jajarkot,,,,,,   10 - 15 Years,  Male,Mother and step father,16
 Jajarkot,,,,,,   10 - 15 Years,  Male,Other relatives,48
 Jajarkot,,,,,,   10 - 15 Years,  Male,Employer,0
 Jajarkot,,,,,,   10 - 15 Years,  Male,Others,215
 Jajarkot,,,,,,   10 - 15 Years,  Male,Not stated,8
 Jajarkot,,,,,,   Under 1 Year,  Female,Parents,2383
 Jajarkot,,,,,,   Under 1 Year,  Female,Mother,76
 Jajarkot,,,,,,   Under 1 Year,  Female,Father,8
 Jajarkot,,,,,,   Under 1 Year,  Female,Father and step mother,8
 Jajarkot,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Jajarkot,,,,,,   Under 1 Year,  Female,Other relatives,0
 Jajarkot,,,,,,   Under 1 Year,  Female,Employer,0
 Jajarkot,,,,,,   Under 1 Year,  Female,Others,8
 Jajarkot,,,,,,   Under 1 Year,  Female,Not stated,8
 Jajarkot,,,,,,   01 - 04 Years,  Female,Parents,9556
 Jajarkot,,,,,,   01 - 04 Years,  Female,Mother,301
 Jajarkot,,,,,,   01 - 04 Years,  Female,Father,63
 Jajarkot,,,,,,   01 - 04 Years,  Female,Father and step mother,8
 Jajarkot,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Jajarkot,,,,,,   01 - 04 Years,  Female,Other relatives,0
 Jajarkot,,,,,,   01 - 04 Years,  Female,Employer,0
 Jajarkot,,,,,,   01 - 04 Years,  Female,Others,103
 Jajarkot,,,,,,   01 - 04 Years,  Female,Not stated,32
 Jajarkot,,,,,,   05 - 09 Years,  Female,Parents,12950
 Jajarkot,,,,,,   05 - 09 Years,  Female,Mother,398
 Jajarkot,,,,,,   05 - 09 Years,  Female,Father,122
 Jajarkot,,,,,,   05 - 09 Years,  Female,Father and step mother,49
 Jajarkot,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Jajarkot,,,,,,   05 - 09 Years,  Female,Other relatives,8
 Jajarkot,,,,,,   05 - 09 Years,  Female,Employer,0
 Jajarkot,,,,,,   05 - 09 Years,  Female,Others,122
 Jajarkot,,,,,,   05 - 09 Years,  Female,Not stated,16
 Jajarkot,,,,,,   10 - 15 Years,  Female,Parents,12988
 Jajarkot,,,,,,   10 - 15 Years,  Female,Mother,596
 Jajarkot,,,,,,   10 - 15 Years,  Female,Father,224
 Jajarkot,,,,,,   10 - 15 Years,  Female,Father and step mother,116
 Jajarkot,,,,,,   10 - 15 Years,  Female,Mother and step father,25
 Jajarkot,,,,,,   10 - 15 Years,  Female,Other relatives,66
 Jajarkot,,,,,,   10 - 15 Years,  Female,Employer,0
 Jajarkot,,,,,,   10 - 15 Years,  Female,Others,273
 Jajarkot,,,,,,   10 - 15 Years,  Female,Not stated,66
 Dolpa,,,,,,   Under 1 Year,  Male,Parents,402
 Dolpa,,,,,,   Under 1 Year,  Male,Mother,7
 Dolpa,,,,,,   Under 1 Year,  Male,Father,0
 Dolpa,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Dolpa,,,,,,   Under 1 Year,  Male,Mother and step father,1
 Dolpa,,,,,,   Under 1 Year,  Male,Other relatives,0
 Dolpa,,,,,,   Under 1 Year,  Male,Employer,0
 Dolpa,,,,,,   Under 1 Year,  Male,Others,0
 Dolpa,,,,,,   Under 1 Year,  Male,Not stated,1
 Dolpa,,,,,,   01 - 04 Years,  Male,Parents,1943
 Dolpa,,,,,,   01 - 04 Years,  Male,Mother,59
 Dolpa,,,,,,   01 - 04 Years,  Male,Father,8
 Dolpa,,,,,,   01 - 04 Years,  Male,Father and step mother,1
 Dolpa,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Dolpa,,,,,,   01 - 04 Years,  Male,Other relatives,2
 Dolpa,,,,,,   01 - 04 Years,  Male,Employer,0
 Dolpa,,,,,,   01 - 04 Years,  Male,Others,13
 Dolpa,,,,,,   01 - 04 Years,  Male,Not stated,5
 Dolpa,,,,,,   05 - 09 Years,  Male,Parents,2327
 Dolpa,,,,,,   05 - 09 Years,  Male,Mother,112
 Dolpa,,,,,,   05 - 09 Years,  Male,Father,37
 Dolpa,,,,,,   05 - 09 Years,  Male,Father and step mother,8
 Dolpa,,,,,,   05 - 09 Years,  Male,Mother and step father,5
 Dolpa,,,,,,   05 - 09 Years,  Male,Other relatives,13
 Dolpa,,,,,,   05 - 09 Years,  Male,Employer,1
 Dolpa,,,,,,   05 - 09 Years,  Male,Others,39
 Dolpa,,,,,,   05 - 09 Years,  Male,Not stated,6
 Dolpa,,,,,,   10 - 15 Years,  Male,Parents,2213
 Dolpa,,,,,,   10 - 15 Years,  Male,Mother,148
 Dolpa,,,,,,   10 - 15 Years,  Male,Father,68
 Dolpa,,,,,,   10 - 15 Years,  Male,Father and step mother,11
 Dolpa,,,,,,   10 - 15 Years,  Male,Mother and step father,7
 Dolpa,,,,,,   10 - 15 Years,  Male,Other relatives,25
 Dolpa,,,,,,   10 - 15 Years,  Male,Employer,2
 Dolpa,,,,,,   10 - 15 Years,  Male,Others,57
 Dolpa,,,,,,   10 - 15 Years,  Male,Not stated,16
 Dolpa,,,,,,   Under 1 Year,  Female,Parents,399
 Dolpa,,,,,,   Under 1 Year,  Female,Mother,5
 Dolpa,,,,,,   Under 1 Year,  Female,Father,2
 Dolpa,,,,,,   Under 1 Year,  Female,Father and step mother,1
 Dolpa,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Dolpa,,,,,,   Under 1 Year,  Female,Other relatives,0
 Dolpa,,,,,,   Under 1 Year,  Female,Employer,0
 Dolpa,,,,,,   Under 1 Year,  Female,Others,1
 Dolpa,,,,,,   Under 1 Year,  Female,Not stated,0
 Dolpa,,,,,,   01 - 04 Years,  Female,Parents,1938
 Dolpa,,,,,,   01 - 04 Years,  Female,Mother,67
 Dolpa,,,,,,   01 - 04 Years,  Female,Father,10
 Dolpa,,,,,,   01 - 04 Years,  Female,Father and step mother,4
 Dolpa,,,,,,   01 - 04 Years,  Female,Mother and step father,1
 Dolpa,,,,,,   01 - 04 Years,  Female,Other relatives,4
 Dolpa,,,,,,   01 - 04 Years,  Female,Employer,0
 Dolpa,,,,,,   01 - 04 Years,  Female,Others,14
 Dolpa,,,,,,   01 - 04 Years,  Female,Not stated,6
 Dolpa,,,,,,   05 - 09 Years,  Female,Parents,2420
 Dolpa,,,,,,   05 - 09 Years,  Female,Mother,126
 Dolpa,,,,,,   05 - 09 Years,  Female,Father,29
 Dolpa,,,,,,   05 - 09 Years,  Female,Father and step mother,6
 Dolpa,,,,,,   05 - 09 Years,  Female,Mother and step father,2
 Dolpa,,,,,,   05 - 09 Years,  Female,Other relatives,22
 Dolpa,,,,,,   05 - 09 Years,  Female,Employer,0
 Dolpa,,,,,,   05 - 09 Years,  Female,Others,39
 Dolpa,,,,,,   05 - 09 Years,  Female,Not stated,4
 Dolpa,,,,,,   10 - 15 Years,  Female,Parents,2485
 Dolpa,,,,,,   10 - 15 Years,  Female,Mother,183
 Dolpa,,,,,,   10 - 15 Years,  Female,Father,45
 Dolpa,,,,,,   10 - 15 Years,  Female,Father and step mother,14
 Dolpa,,,,,,   10 - 15 Years,  Female,Mother and step father,12
 Dolpa,,,,,,   10 - 15 Years,  Female,Other relatives,29
 Dolpa,,,,,,   10 - 15 Years,  Female,Employer,3
 Dolpa,,,,,,   10 - 15 Years,  Female,Others,63
 Dolpa,,,,,,   10 - 15 Years,  Female,Not stated,11
 Jumla,,,,,,   Under 1 Year,  Male,Parents,1240
 Jumla,,,,,,   Under 1 Year,  Male,Mother,37
 Jumla,,,,,,   Under 1 Year,  Male,Father,7
 Jumla,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Jumla,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Jumla,,,,,,   Under 1 Year,  Male,Other relatives,0
 Jumla,,,,,,   Under 1 Year,  Male,Employer,0
 Jumla,,,,,,   Under 1 Year,  Male,Others,0
 Jumla,,,,,,   Under 1 Year,  Male,Not stated,7
 Jumla,,,,,,   01 - 04 Years,  Male,Parents,5985
 Jumla,,,,,,   01 - 04 Years,  Male,Mother,150
 Jumla,,,,,,   01 - 04 Years,  Male,Father,42
 Jumla,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Jumla,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Jumla,,,,,,   01 - 04 Years,  Male,Other relatives,17
 Jumla,,,,,,   01 - 04 Years,  Male,Employer,0
 Jumla,,,,,,   01 - 04 Years,  Male,Others,42
 Jumla,,,,,,   01 - 04 Years,  Male,Not stated,0
 Jumla,,,,,,   05 - 09 Years,  Male,Parents,7349
 Jumla,,,,,,   05 - 09 Years,  Male,Mother,279
 Jumla,,,,,,   05 - 09 Years,  Male,Father,62
 Jumla,,,,,,   05 - 09 Years,  Male,Father and step mother,8
 Jumla,,,,,,   05 - 09 Years,  Male,Mother and step father,8
 Jumla,,,,,,   05 - 09 Years,  Male,Other relatives,39
 Jumla,,,,,,   05 - 09 Years,  Male,Employer,8
 Jumla,,,,,,   05 - 09 Years,  Male,Others,54
 Jumla,,,,,,   05 - 09 Years,  Male,Not stated,0
 Jumla,,,,,,   10 - 15 Years,  Male,Parents,7740
 Jumla,,,,,,   10 - 15 Years,  Male,Mother,320
 Jumla,,,,,,   10 - 15 Years,  Male,Father,120
 Jumla,,,,,,   10 - 15 Years,  Male,Father and step mother,8
 Jumla,,,,,,   10 - 15 Years,  Male,Mother and step father,8
 Jumla,,,,,,   10 - 15 Years,  Male,Other relatives,136
 Jumla,,,,,,   10 - 15 Years,  Male,Employer,16
 Jumla,,,,,,   10 - 15 Years,  Male,Others,136
 Jumla,,,,,,   10 - 15 Years,  Male,Not stated,40
 Jumla,,,,,,   Under 1 Year,  Female,Parents,1179
 Jumla,,,,,,   Under 1 Year,  Female,Mother,42
 Jumla,,,,,,   Under 1 Year,  Female,Father,7
 Jumla,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Jumla,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Jumla,,,,,,   Under 1 Year,  Female,Other relatives,0
 Jumla,,,,,,   Under 1 Year,  Female,Employer,0
 Jumla,,,,,,   Under 1 Year,  Female,Others,0
 Jumla,,,,,,   Under 1 Year,  Female,Not stated,7
 Jumla,,,,,,   01 - 04 Years,  Female,Parents,5854
 Jumla,,,,,,   01 - 04 Years,  Female,Mother,240
 Jumla,,,,,,   01 - 04 Years,  Female,Father,40
 Jumla,,,,,,   01 - 04 Years,  Female,Father and step mother,0
 Jumla,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Jumla,,,,,,   01 - 04 Years,  Female,Other relatives,16
 Jumla,,,,,,   01 - 04 Years,  Female,Employer,0
 Jumla,,,,,,   01 - 04 Years,  Female,Others,16
 Jumla,,,,,,   01 - 04 Years,  Female,Not stated,32
 Jumla,,,,,,   05 - 09 Years,  Female,Parents,7358
 Jumla,,,,,,   05 - 09 Years,  Female,Mother,341
 Jumla,,,,,,   05 - 09 Years,  Female,Father,63
 Jumla,,,,,,   05 - 09 Years,  Female,Father and step mother,8
 Jumla,,,,,,   05 - 09 Years,  Female,Mother and step father,0
 Jumla,,,,,,   05 - 09 Years,  Female,Other relatives,48
 Jumla,,,,,,   05 - 09 Years,  Female,Employer,0
 Jumla,,,,,,   05 - 09 Years,  Female,Others,55
 Jumla,,,,,,   05 - 09 Years,  Female,Not stated,8
 Jumla,,,,,,   10 - 15 Years,  Female,Parents,7594
 Jumla,,,,,,   10 - 15 Years,  Female,Mother,362
 Jumla,,,,,,   10 - 15 Years,  Female,Father,110
 Jumla,,,,,,   10 - 15 Years,  Female,Father and step mother,16
 Jumla,,,,,,   10 - 15 Years,  Female,Mother and step father,24
 Jumla,,,,,,   10 - 15 Years,  Female,Other relatives,71
 Jumla,,,,,,   10 - 15 Years,  Female,Employer,8
 Jumla,,,,,,   10 - 15 Years,  Female,Others,94
 Jumla,,,,,,   10 - 15 Years,  Female,Not stated,63
 Kalikot,,,,,,   Under 1 Year,  Male,Parents,1869
 Kalikot,,,,,,   Under 1 Year,  Male,Mother,39
 Kalikot,,,,,,   Under 1 Year,  Male,Father,0
 Kalikot,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Kalikot,,,,,,   Under 1 Year,  Male,Mother and step father,8
 Kalikot,,,,,,   Under 1 Year,  Male,Other relatives,0
 Kalikot,,,,,,   Under 1 Year,  Male,Employer,0
 Kalikot,,,,,,   Under 1 Year,  Male,Others,8
 Kalikot,,,,,,   Under 1 Year,  Male,Not stated,0
 Kalikot,,,,,,   01 - 04 Years,  Male,Parents,8736
 Kalikot,,,,,,   01 - 04 Years,  Male,Mother,368
 Kalikot,,,,,,   01 - 04 Years,  Male,Father,16
 Kalikot,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Kalikot,,,,,,   01 - 04 Years,  Male,Mother and step father,16
 Kalikot,,,,,,   01 - 04 Years,  Male,Other relatives,0
 Kalikot,,,,,,   01 - 04 Years,  Male,Employer,0
 Kalikot,,,,,,   01 - 04 Years,  Male,Others,25
 Kalikot,,,,,,   01 - 04 Years,  Male,Not stated,16
 Kalikot,,,,,,   05 - 09 Years,  Male,Parents,9914
 Kalikot,,,,,,   05 - 09 Years,  Male,Mother,516
 Kalikot,,,,,,   05 - 09 Years,  Male,Father,107
 Kalikot,,,,,,   05 - 09 Years,  Male,Father and step mother,41
 Kalikot,,,,,,   05 - 09 Years,  Male,Mother and step father,8
 Kalikot,,,,,,   05 - 09 Years,  Male,Other relatives,25
 Kalikot,,,,,,   05 - 09 Years,  Male,Employer,0
 Kalikot,,,,,,   05 - 09 Years,  Male,Others,66
 Kalikot,,,,,,   05 - 09 Years,  Male,Not stated,25
 Kalikot,,,,,,   10 - 15 Years,  Male,Parents,10150
 Kalikot,,,,,,   10 - 15 Years,  Male,Mother,509
 Kalikot,,,,,,   10 - 15 Years,  Male,Father,218
 Kalikot,,,,,,   10 - 15 Years,  Male,Father and step mother,16
 Kalikot,,,,,,   10 - 15 Years,  Male,Mother and step father,16
 Kalikot,,,,,,   10 - 15 Years,  Male,Other relatives,57
 Kalikot,,,,,,   10 - 15 Years,  Male,Employer,8
 Kalikot,,,,,,   10 - 15 Years,  Male,Others,154
 Kalikot,,,,,,   10 - 15 Years,  Male,Not stated,24
 Kalikot,,,,,,   Under 1 Year,  Female,Parents,1779
 Kalikot,,,,,,   Under 1 Year,  Female,Mother,33
 Kalikot,,,,,,   Under 1 Year,  Female,Father,0
 Kalikot,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Kalikot,,,,,,   Under 1 Year,  Female,Mother and step father,8
 Kalikot,,,,,,   Under 1 Year,  Female,Other relatives,0
 Kalikot,,,,,,   Under 1 Year,  Female,Employer,0
 Kalikot,,,,,,   Under 1 Year,  Female,Others,0
 Kalikot,,,,,,   Under 1 Year,  Female,Not stated,0
 Kalikot,,,,,,   01 - 04 Years,  Female,Parents,8342
 Kalikot,,,,,,   01 - 04 Years,  Female,Mother,272
 Kalikot,,,,,,   01 - 04 Years,  Female,Father,24
 Kalikot,,,,,,   01 - 04 Years,  Female,Father and step mother,16
 Kalikot,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Kalikot,,,,,,   01 - 04 Years,  Female,Other relatives,8
 Kalikot,,,,,,   01 - 04 Years,  Female,Employer,0
 Kalikot,,,,,,   01 - 04 Years,  Female,Others,40
 Kalikot,,,,,,   01 - 04 Years,  Female,Not stated,16
 Kalikot,,,,,,   05 - 09 Years,  Female,Parents,9922
 Kalikot,,,,,,   05 - 09 Years,  Female,Mother,361
 Kalikot,,,,,,   05 - 09 Years,  Female,Father,72
 Kalikot,,,,,,   05 - 09 Years,  Female,Father and step mother,32
 Kalikot,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Kalikot,,,,,,   05 - 09 Years,  Female,Other relatives,24
 Kalikot,,,,,,   05 - 09 Years,  Female,Employer,0
 Kalikot,,,,,,   05 - 09 Years,  Female,Others,56
 Kalikot,,,,,,   05 - 09 Years,  Female,Not stated,8
 Kalikot,,,,,,   10 - 15 Years,  Female,Parents,9805
 Kalikot,,,,,,   10 - 15 Years,  Female,Mother,568
 Kalikot,,,,,,   10 - 15 Years,  Female,Father,226
 Kalikot,,,,,,   10 - 15 Years,  Female,Father and step mother,70
 Kalikot,,,,,,   10 - 15 Years,  Female,Mother and step father,8
 Kalikot,,,,,,   10 - 15 Years,  Female,Other relatives,101
 Kalikot,,,,,,   10 - 15 Years,  Female,Employer,0
 Kalikot,,,,,,   10 - 15 Years,  Female,Others,148
 Kalikot,,,,,,   10 - 15 Years,  Female,Not stated,39
 Mugu,,,,,,   Under 1 Year,  Male,Parents,713
 Mugu,,,,,,   Under 1 Year,  Male,Mother,10
 Mugu,,,,,,   Under 1 Year,  Male,Father,1
 Mugu,,,,,,   Under 1 Year,  Male,Father and step mother,1
 Mugu,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Mugu,,,,,,   Under 1 Year,  Male,Other relatives,1
 Mugu,,,,,,   Under 1 Year,  Male,Employer,0
 Mugu,,,,,,   Under 1 Year,  Male,Others,4
 Mugu,,,,,,   Under 1 Year,  Male,Not stated,3
 Mugu,,,,,,   01 - 04 Years,  Male,Parents,3516
 Mugu,,,,,,   01 - 04 Years,  Male,Mother,69
 Mugu,,,,,,   01 - 04 Years,  Male,Father,8
 Mugu,,,,,,   01 - 04 Years,  Male,Father and step mother,1
 Mugu,,,,,,   01 - 04 Years,  Male,Mother and step father,1
 Mugu,,,,,,   01 - 04 Years,  Male,Other relatives,1
 Mugu,,,,,,   01 - 04 Years,  Male,Employer,0
 Mugu,,,,,,   01 - 04 Years,  Male,Others,16
 Mugu,,,,,,   01 - 04 Years,  Male,Not stated,8
 Mugu,,,,,,   05 - 09 Years,  Male,Parents,3801
 Mugu,,,,,,   05 - 09 Years,  Male,Mother,103
 Mugu,,,,,,   05 - 09 Years,  Male,Father,20
 Mugu,,,,,,   05 - 09 Years,  Male,Father and step mother,5
 Mugu,,,,,,   05 - 09 Years,  Male,Mother and step father,2
 Mugu,,,,,,   05 - 09 Years,  Male,Other relatives,2
 Mugu,,,,,,   05 - 09 Years,  Male,Employer,0
 Mugu,,,,,,   05 - 09 Years,  Male,Others,31
 Mugu,,,,,,   05 - 09 Years,  Male,Not stated,13
 Mugu,,,,,,   10 - 15 Years,  Male,Parents,3833
 Mugu,,,,,,   10 - 15 Years,  Male,Mother,186
 Mugu,,,,,,   10 - 15 Years,  Male,Father,75
 Mugu,,,,,,   10 - 15 Years,  Male,Father and step mother,17
 Mugu,,,,,,   10 - 15 Years,  Male,Mother and step father,3
 Mugu,,,,,,   10 - 15 Years,  Male,Other relatives,18
 Mugu,,,,,,   10 - 15 Years,  Male,Employer,2
 Mugu,,,,,,   10 - 15 Years,  Male,Others,50
 Mugu,,,,,,   10 - 15 Years,  Male,Not stated,22
 Mugu,,,,,,   Under 1 Year,  Female,Parents,688
 Mugu,,,,,,   Under 1 Year,  Female,Mother,12
